asdf_id,v4composites_calibrated_201709.1992.mean,v4composites_calibrated_201709.1993.mean,v4composites_calibrated_201709.1994.mean,v4composites_calibrated_201709.1995.mean,v4composites_calibrated_201709.1996.mean,v4composites_calibrated_201709.1997.mean,v4composites_calibrated_201709.1998.mean,v4composites_calibrated_201709.1999.mean,v4composites_calibrated_201709.2000.mean,v4composites_calibrated_201709.2001.mean,v4composites_calibrated_201709.2002.mean,v4composites_calibrated_201709.2003.mean,v4composites_calibrated_201709.2004.mean,v4composites_calibrated_201709.2005.mean,v4composites_calibrated_201709.2006.mean,v4composites_calibrated_201709.2007.mean,v4composites_calibrated_201709.2008.mean,v4composites_calibrated_201709.2009.mean,v4composites_calibrated_201709.2010.mean,v4composites_calibrated_201709.2011.mean,v4composites_calibrated_201709.2012.mean,v4composites_calibrated_201709.2013.mean,Level,gqid,shapeGroup,shapeID,shapeISO,shapeName,shapeType
21,0.878604320932,1.0260264895,0.676690500949,1.28574662184,1.36962494447,1.27917804973,1.472829202,1.34896200975,1.66842800958,1.77891082343,1.70491391591,1.94725377073,2.13857967492,2.31526147238,2.43446631255,2.21144518857,1.60674263319,0.966466911265,2.6989828422,2.82678710938,2.52622440886,2.97282589335,ADM1,21,THA,THA-ADM1-36821470B88373360,TH-65,Phitsanulok Province,ADM1
22,0.867672034322,1.60962759485,1.14595956234,2.04878834621,1.69880153727,1.40677873238,1.96860536626,1.53602481276,1.54826488217,1.67141328591,1.4976618046,2.09212733428,1.94496288198,1.67709834072,1.62952619097,1.82534548228,1.47510959569,1.97928049956,2.37918324779,2.36352842729,1.99133856726,2.25352020489,ADM1,22,THA,THA-ADM1-36821470B20735688,TH-85,Ranong Province,ADM1
23,0.927657463098,1.0595251669,1.10516570813,1.52165982094,1.71569343755,2.06739396078,2.0830531141,1.73308856599,2.39562068125,1.96311264449,2.30003267618,1.93035435397,2.43516603026,2.36023458158,2.51595406702,2.58789513764,2.64602947381,1.22628215692,3.50954391429,3.97581136298,3.32265754418,4.57767129821,ADM1,23,THA,THA-ADM1-36821470B44110237,TH-41,Udon Thani Province,ADM1
24,0.376512717087,0.465225915731,0.801555653957,0.936821551849,1.06543928538,1.47111552412,1.02917821742,0.721994236178,1.44139262741,1.26616902395,1.23766602171,1.05296826033,1.18207411352,1.2792859042,1.41214244268,1.55289103245,1.62180158157,0.548871769012,2.19909061127,2.33331924136,1.62022837917,2.3575442276,ADM1,24,THA,THA-ADM1-36821470B4581928,TH-47,Sakon Nakhon Province,ADM1
25,1.11334124232,1.77606333528,1.44356120775,1.94460856625,2.10135322503,2.65351183662,2.40709719526,1.55680180669,2.14634519804,1.90206649454,2.08780538112,1.70787912975,2.0664753283,1.85815284099,2.17425553525,2.14814255372,2.35164636093,0.81503120751,4.67467127102,4.39363310766,3.58622808616,4.05931947967,ADM1,25,THA,THA-ADM1-36821470B67837341,TH-57,Chiang Rai Province,ADM1
26,0.267328272588,0.428891066635,0.2478023096,0.467602086716,0.530860620764,0.489591289022,0.575470735201,0.619909447825,0.667532237044,0.853616612424,0.712664964675,0.811080682855,0.767433432566,0.760020238743,0.758266099536,0.77212738038,0.692706418675,0.286499900132,1.36114698247,1.18346426538,1.20078331188,1.27325285033,ADM1,26,THA,THA-ADM1-36821470B37012109,TH-63,Tak Province,ADM1
27,13.9111976244,17.8582829722,15.3044718398,18.9545190202,20.1747307727,18.9231485222,20.5645637183,19.9139676508,19.1651008633,20.6988830865,18.4022140493,19.7228388368,20.3992990557,20.6874504644,19.0503799979,19.663548064,19.9136120638,16.4381976073,17.6216190006,19.945945953,20.1195515667,23.0335564088,ADM1,27,THA,THA-ADM1-36821470B65263587,TH-73,Nakhon Pathom Province,ADM1
28,1.27783278517,2.29923533062,1.62313990926,2.69278764307,2.9273014748,2.95693079693,3.05802904165,2.37966381196,2.4594525944,2.96975743607,2.85163214941,2.84244953577,3.28102240202,2.71286871446,2.9929001083,2.9552002277,3.23135392861,1.37972215768,5.42478444819,4.42584989523,3.82167678396,4.50170160773,ADM1,28,THA,THA-ADM1-36821470B88642788,TH-51,Lamphun Province,ADM1
29,1.40584104215,2.53116288966,2.38210589471,2.88729389776,2.48661198353,2.60679089143,2.55574215133,2.2196979638,2.67584219081,2.95365034571,2.63740681382,2.83603647451,2.55963684494,2.38459635096,2.32048838379,2.08785649736,1.87360449213,0.691892909768,2.48083402398,3.2408459854,2.08415451253,2.68895643222,ADM1,29,THA,THA-ADM1-36821470B38804215,TH-23,Trat Province,ADM1
30,3.85971842213,6.02963042788,4.50371971943,6.06476905052,6.80140842886,5.6154241047,7.32645584282,5.7229540755,5.85253791192,6.09987933749,5.91003007908,6.62016562166,6.73501422278,7.03735818258,6.30537146226,6.75490093693,7.26378778058,7.06267139736,7.68126370361,8.46008571149,8.05281552162,9.23573754026,ADM1,30,THA,THA-ADM1-36821470B61882179,TH-70,Ratchaburi Province,ADM1
31,0.395060917317,0.631115297018,0.672974960461,0.778715675379,0.877076829951,0.828095991881,0.974342731398,1.24889296223,0.993870978605,1.05407711594,1.30848409715,1.40913950111,1.21091753688,1.33539726041,1.32554657536,1.50965197439,1.7367557758,0.316471984312,2.61941258275,2.25853381518,1.49202565323,2.64112722174,ADM1,31,THA,THA-ADM1-36821470B46441872,TH-35,Yasothon Province,ADM1
32,0.620452686863,1.0758216752,0.790834468768,1.36956920643,1.19346994841,1.38501519718,1.60090790842,1.56393505896,1.58870710968,1.58523650527,1.70627954316,1.57047263676,1.93206207387,1.48439496008,1.57908431849,1.5430729238,1.75543287897,0.737510411026,3.50328027039,2.73249598232,2.58917803554,2.41936066855,ADM1,32,THA,THA-ADM1-36821470B73544216,TH-54,Phrae Province,ADM1
33,0.551938335131,0.996007614417,0.932688743288,1.42431400859,1.83552500771,1.7317792602,1.90133476877,1.81434433626,1.65116292257,1.66486825596,1.86188758846,2.10670812625,2.33212616968,2.61079617439,2.51184482383,2.68191841111,2.95721631756,2.75735532462,3.33263629735,3.60994551868,3.14732681087,3.21783266136,ADM1,33,THA,THA-ADM1-36821470B2766038,TH-95,Yala Province,ADM1
34,0.500861789087,0.607390881276,0.349936622371,0.923877708868,0.942708250925,0.948162360091,1.24163450841,1.15878971252,1.12964223,1.21161445138,1.16231319682,1.34517309655,1.50645141171,1.26265730165,1.32478107362,1.21146695297,1.56368549364,0.472630715997,2.45812521275,2.01550132799,2.24251446201,2.17054159838,ADM1,34,THA,THA-ADM1-36821470B86168151,TH-53,Uttaradit Province,ADM1
35,0.349759871485,0.452497723367,0.542544527103,0.879160543282,0.973757736837,0.966359721505,1.21496146485,0.984338980843,0.840211134014,1.01491224324,1.00715582043,1.02763142123,1.28531609062,1.36330088701,0.629628076475,0.596023163549,0.524531999965,0.443837876721,2.45443282162,2.9242042871,2.26854317584,2.76285382719,ADM1,35,THA,THA-ADM1-36821470B60309299,TH-31,Buri Ram Province,ADM1
36,1.8133718786,1.55912264058,0.74724805093,1.56636324355,1.53934137073,1.56987674813,1.96469351375,1.55567658514,1.54726060092,1.86130081762,1.66750820663,1.6635070752,1.79946026331,1.6083149176,1.63695378989,1.76850062719,0.98892519882,0.617007843034,3.2739759848,3.17753166075,2.90119077428,3.53844335621,ADM1,36,THA,THA-ADM1-36821470B81212793,TH-62,Kamphaeng Phet Province,ADM1
37,0.933909347491,1.59191250158,0.9212918918,1.72487071421,1.64561607544,1.78747219475,1.79318037736,1.65469819571,1.80978948659,1.96611043781,1.8597918912,1.78464403293,1.99579494249,1.56341449879,1.70506013336,1.57084778357,1.74997314992,0.738853954663,4.08540083191,3.26549661495,2.7529033203,2.95316057402,ADM1,37,THA,THA-ADM1-36821470B69055282,TH-52,Lampang Province,ADM1
38,35.3513097761,35.1438171284,34.7486606528,40.7690910642,43.1280424738,42.4428701074,41.1022244131,41.1024250676,37.7864341542,38.4209471979,36.0130390418,40.8737834445,40.8225775321,42.9558464524,42.4791919312,40.6727376441,42.9770525819,42.1678205717,28.5286302815,34.8272186859,34.0344916636,38.0930476828,ADM1,38,THA,THA-ADM1-36821470B8335371,TH-12,Nonthaburi Province,ADM1
39,0.156862677727,0.292263212237,0.29243354851,0.366550089024,0.442875261025,0.870394537401,0.728688012957,0.490723410476,0.981398617271,1.02981734389,0.955897918318,0.747978743754,0.603021547661,0.685747499817,0.780759281938,1.02577970308,1.08446313942,0.668192410196,1.64846148222,1.80234769316,1.13962763028,1.61334431856,ADM1,39,THA,THA-ADM1-36821470B52794573,TH-38,Bueng Kan Province,ADM1
40,0.718250588073,0.865973255358,0.83216002372,2.10058000591,2.32340498784,2.78421850004,2.79781064457,2.79824377036,2.73753611183,3.21024696868,3.64127096223,3.6925479848,3.71039606411,4.25536892129,3.58279976549,3.69520652187,3.81811610789,3.67921135255,4.58113601539,4.55016143114,4.72392576358,4.30217786099,ADM1,40,THA,THA-ADM1-36821470B17453713,TH-96,Narathiwat Province,ADM1
41,0.427454035567,0.647618799311,0.580605867111,0.729037770767,0.870108453101,1.0050202938,0.880297599266,0.834607218153,1.00043949167,1.01421231053,0.980102064796,1.17536435031,0.961335189104,0.948871174188,0.980807908785,1.15093367569,1.33180712828,0.610917804573,2.852294015,2.03203394263,1.38733355774,2.31951103502,ADM1,41,THA,THA-ADM1-36821470B39097958,TH-34,Ubon Ratchathani Province,ADM1
42,2.1790085766,3.38532806614,2.94141050032,4.16181482968,3.98538472928,3.58718469537,4.19876518262,4.10955484719,3.69799376016,3.85328836394,3.93583139069,4.71403785505,4.41250483554,4.11299895245,3.7688448643,4.22286188149,4.18170713789,4.64367969099,5.06139711374,4.85424539946,4.7531650258,5.22822994853,ADM1,42,THA,THA-ADM1-36821470B61788953,TH-77,Prachuap Khiri Khan Province,ADM1
